card,lens_no,lens_echo,pour_no,wine,producer_or_region,blurb,grape,style,vintage,abv,serve,notes,pairs_with,acid,sweet,tannin,body,status
The Magician,III,"Mastery, disguised as ease. Always.",1,Didier Dagueneau Silex,"Loire, France","The impossible made effortless: Dagueneau bent Sauvignon Blanc until it stopped tasting like a grape and started tasting like the flint it grew from. Silex is the Loire channeled through sheer will: smoky, electric, utterly singular. Nobody else could have made it.",Sauvignon Blanc,"Dry white, single vineyard",,,,"Smoke, flint, citrus",,0.8,0.05,0.1,0.45,draft
The Fool,II,The untraveled road. Obviously.,1,The Prince in His Caves,"Scholium Project, California","The good stuff was never on the map, and nobody proved it like Abe Schoener, a philosophy professor who left the lecture hall to make wine with no formal training. The Prince ferments Sauvignon Blanc on its skins into something golden, grippy, and gloriously unplanned. The syllabus never stood a chance.",Sauvignon Blanc,Skin-contact white,2021,13%,10-12°C,"Quince, walnut, black tea","Aged cheese, roast pork",0.6,0.05,0.35,0.6,draft
The Fool,III,No reason at all. The best one.,1,Morgon Côte du Py,"Jean Foillard, Beaujolais","No reason needed, no regrets offered: carbonic maceration seals whole clusters to ferment inside their own skins, juice barely touched, joy nearly guaranteed. Foillard's Côte du Py is the style at its silkiest, made by one of the 'Gang of Four' who bet Beaujolais could be serious and fun at once. The bet keeps paying.",Gamay,"Red, carbonic cru",2022,13%,"14°C, light chill","Cherry, violet, granite","Roast chicken, charcuterie",0.65,0.08,0.3,0.45,draft
The Fool,IV,The dark horse. Every time.,1,Rebula,"Movia, Brda, Slovenia","The safest bet is the one nobody else is making, and Slovenian wine was nobody's bet for decades. Movia has farmed the Brda hills through eight generations and four different countries without moving an inch, the border redrawn around the vines. Rebula from the far edge of the map, arriving right on time.",Rebula,"White, amber-edged",2020,12.5%,10-12°C,"Apple skin, herbs, honey","Trout, herbed cheeses",0.7,0.05,0.2,0.5,draft
The Magician,I,The origin story. Insightful.,1,Clos de la Roche,"Domaine Dujac, Burgundy","The raw material was always extraordinary; the trick is not getting in its way. Dujac's Clos de la Roche pulls a grand cru's worth of wild strawberry, forest, and spice through whole-cluster ferments that add nothing but nerve. The site does the talking. The hands just made sure of it.",Pinot Noir,"Red, grand cru",2019,13%,"16°C, decant 30 min","Strawberry, forest floor, spice","Duck, mushrooms",0.6,0.05,0.5,0.55,draft
The Magician,II,The whole ensemble. Masterful.,1,Grande Cuvée,"Krug, Champagne","Every piece played its part perfectly, and there are about a hundred and twenty of them: each edition of Grande Cuvée blends wines from more than a decade of harvests, a composition rebuilt from scratch every year. A hundred and twenty instruments, one chord. Nobody hears the seams.",Champagne blend,Prestige NV Champagne,NV,12%,9-11°C,"Brioche, citrus, hazelnut","Oysters, aged Comté",0.75,0.1,0.05,0.55,draft
The Magician,IV,"The mystery, intact. Quite right.",1,Clos Saint Urbain Rangen Riesling,"Zind-Humbrecht, Alsace","Some forces work best left unexplained. The Rangen is a volcanic cliff so steep monks once farmed it with ropes; Zind-Humbrecht works it biodynamically, by cow horn and lunar calendar, and the Riesling comes up tasting of smoke and stone. Explanations are available. None of them quite cover it.",Riesling,"Dry white, volcanic grand cru",2019,13.5%,10-12°C,"Smoke, flint, lime","Smoked fish, spiced pork",0.8,0.15,0.1,0.6,draft
The High Priestess,I,The double life. Perceptive.,1,Clos du Papillon,"Domaine du Closel, Savennières","What shows and what hides are both real. Savennières is Chenin at its most double-natured, austere and stony on approach, honeyed underneath; Closel farms the schist of Clos du Papillon biodynamically and bottles both faces at once. The first sip and the last rarely agree. Neither is wrong.",Chenin Blanc,"Dry white, textured",2019,14%,11-13°C,"Quince, beeswax, wet stone","Roast pork, ripe cheeses",0.7,0.08,0.15,0.65,draft
The High Priestess,II,The slow reveal. Worth it.,1,Barolo Monprivato,"Giuseppe Mascarello, Piedmont","The deepest ones open in their own time, and Monprivato takes all it needs. Giuseppe Mascarello's family has held this Castiglione Falletto cru since 1904; young, it offers perfume and stone and little else, then unfolds over hours into roses, tar, and old secrets. Rushing gets you nowhere. Sitting with it gets you everything.",Nebbiolo,"Red, traditional Barolo",2017,14%,"17°C, decant 2 hrs","Rose, tar, dried cherry","Braised beef, truffle",0.75,0.05,0.8,0.6,draft
The High Priestess,III,You caught the whisper. Sharp ears.,1,La Gitana Manzanilla,"Hidalgo, Sanlúcar de Barrameda","Some notes only reach the ones listening. Manzanilla ages under a veil of flor in Sanlúcar, where sea air slips into the casks and leaves something saline and half-imagined; La Gitana is the town's whisper in a glass, chamomile and salt, pale as moonlight. Loud rooms miss it entirely. That seems fair.",Palomino,"Manzanilla sherry, flor-aged",NV,15%,"7-9°C, fresh bottle","Chamomile, almond, sea spray","Olives, fried fish",0.6,0.02,0.05,0.3,draft
The High Priestess,IV,You chose the unknowable. Fitting.,1,Châteauneuf-du-Pape,"Château Rayas, Rhône","The best secrets keep themselves. Rayas hides at the end of an unmarked lane, no sign, no visitors, release schedules known only to itself, making Châteauneuf's most ethereal Grenache from cool sand under pines. The Reynaud family has never explained much. The wine has never needed them to.",Grenache,"Red, Châteauneuf-du-Pape",2012,14.5%,16°C,"Kirsch, garrigue, incense","Game birds, lamb",0.6,0.06,0.45,0.6,draft
The Empress,I,The abundance. Take more.,1,Condrieu Terrasses de l'Empire,"Georges Vernay, Rhône","There is more than enough to go around, though it nearly wasn't: Condrieu had shrunk to a few stubborn hectares when Georges Vernay refused to let Viognier die, and his terraces became the grape's world capital. Apricot, honeysuckle, cream. Abundance restored, one steep row at a time.",Viognier,Aromatic dry white,2021,14%,11-13°C,"Apricot, honeysuckle, cream","Lobster, soft cheeses",0.45,0.1,0.1,0.7,draft
The Empress,II,The well-tended. Flourishing.,1,Estate Cabernet Sauvignon,"Spottswoode, Napa Valley","Living things thrive on attention, and Spottswoode has proven it since converting to organic farming in 1985, decades before Napa followed. A family estate run by mothers and daughters, gardens threaded through the vineyard rows. The Cabernet comes up velvet, generous, unmistakably cared for.",Cabernet Sauvignon,"Red, Napa estate",2019,14.2%,"17°C, decant 30 min","Cassis, violet, cedar","Lamb, ribeye",0.55,0.05,0.6,0.75,draft
The Empress,III,You chose the oldest love. It shows.,1,Bechthold Vineyard Cinsault,"Turley, Lodi","The oldest roots feed the newest branches. The Bechthold Vineyard was planted to Cinsault in 1886, the oldest such planting on earth, and its gnarled vines still mother new cuttings across Lodi. Turley bottles it bright, floral, alive. A hundred and forty harvests in, still providing.",Cinsault,"Red, ancient vines",2022,12.9%,"14°C, slight chill","Strawberry, rose, pepper","Grilled salmon, herbed chicken",0.6,0.05,0.3,0.45,draft
The Empress,IV,A set table. You were expected.,1,Barbera d'Asti Tre Vigne,"Vietti, Piedmont","The best care is practical. Barbera is Piedmont's weeknight mother tongue, all juicy acidity and dark fruit with no tannic lectures, built to make dinner taste better; Vietti gives the workhorse grape cru-level respect. It has never met a table it couldn't feed.",Barbera,"Red, food-first",2021,14%,16°C,"Black cherry, plum, balsam","Pasta, pizza, roast pork",0.75,0.05,0.3,0.55,draft
The Emperor,I,The architecture. Sound.,1,Château Montrose,"St-Estèphe, Bordeaux","The things that last were engineered to. Montrose sits on a gravel rise above the Gironde, building St-Estèphe of the old school: dense, tannic, unhurried, designed for decades the way bridges are. Vintages from the sixties still stand. The blueprints clearly worked.",Cabernet blend,"Red, classified St-Estèphe",2016,13.5%,"17°C, decant 1 hr","Cassis, graphite, earth","Ribeye, roast lamb",0.6,0.05,0.8,0.8,draft
The Emperor,II,You went straight to the throne. Correct.,1,Château Latour,"Pauillac, Bordeaux","Every order traces back to one name. Latour anchored Pauillac's hierarchy before the 1855 classification confirmed what everyone already knew, and in 2012 it seceded from the futures system entirely, releasing wine only when it decides the wine is ready. First growth, first word, last word.",Cabernet blend,"Red, first growth",2010,13.5%,"18°C, decant 2 hrs","Blackcurrant, cedar, iron","Beef, aged cheeses",0.6,0.05,0.85,0.85,draft
The Emperor,III,The law upheld. As written.,1,Brunello di Montalcino,"Il Poggione, Tuscany","Good rules outlive their makers. Brunello is bound by some of Italy's strictest wine law: one grape, one hill, no release before the fifth year. Il Poggione has kept that code for over a century, and the wine arrives composed, structured, certain. The rules were the point.",Sangiovese,"Red, Brunello DOCG",2018,14.5%,"17°C, decant 1 hr","Cherry, leather, dried herbs","Bistecca, aged pecorino",0.65,0.05,0.7,0.7,draft
The Emperor,IV,"Order, kept. As designed.",1,Château Haut-Brion,"Pessac-Léognan, Bordeaux","Control is a kind of care. Haut-Brion was the only estate outside the Médoc commanding enough to force its way into the 1855 classification, and it has run on precision ever since, plot by plot, barrel by barrel. Smoke, cassis, warm brick. Authority, wearing polish.",Cabernet blend,"Red, first growth Graves",2015,14%,"17-18°C, decant 1 hr","Smoke, cassis, tobacco","Roast duck, beef",0.6,0.05,0.75,0.8,draft
The Hierophant,I,The old rites. Still working.,1,Clos Vougeot,"Château de la Tour, Burgundy","The rites survived for a reason. Cistercian monks walled the Clos de Vougeot nine centuries ago and worked out, row by patient row, most of what Burgundy still believes; Château de la Tour remains the largest holder inside those walls, making Pinot the monks would recognize. Doctrine, drinkable.",Pinot Noir,"Red, grand cru",2019,13.5%,16-17°C,"Dark cherry, underbrush, spice","Coq au vin, brie",0.6,0.05,0.55,0.6,draft
The Hierophant,II,The classic course. As intended.,1,Sancerre,"Domaine Vacheron, Loire","The classics earned the title. Sancerre is the world's reference point for Sauvignon Blanc, the bottle sommeliers reach for when someone asks what the grape is supposed to taste like; the Vacheron family answers with biodynamically farmed flint and citrus, chalk-line precise. Lesson one, poured properly.",Sauvignon Blanc,"Dry white, benchmark",2022,13%,9-11°C,"Gooseberry, flint, citrus","Goat cheese, oysters",0.8,0.04,0.05,0.4,draft
The Hierophant,III,"The long chain, unbroken. Carry on.",1,Rutherglen Muscat,"Campbells, Australia","Each generation teaches the next, literally, in Rutherglen: young Muscat joins barrels holding wine far older, learning richness from its elders in a chain Campbells began in 1870. The glass holds no single age, only accumulated wisdom. Raisin, toffee, rose petal. Class remains in session.",Muscat,"Fortified, solera-style",NV,17.5%,"14-16°C, small pour","Raisin, toffee, rose","Blue cheese, dark chocolate",0.4,0.9,0.15,0.8,draft
The Hierophant,IV,The flame kept. Someone must.,1,Viña Tondonia Reserva,"López de Heredia, Rioja","Somebody has to hold the line, and at Tondonia the line has held since 1877: the same long American-oak aging, a working cooperage on site, cellars so old they grow their own mold. Fashion has circled past a dozen times. The wine has outlasted every lap.",Tempranillo blend,"Red, traditional Rioja",2012,13.5%,16°C,"Dried cherry, dill, leather","Roast lamb, jamón",0.7,0.04,0.5,0.55,draft
The Lovers,I,The union. Inevitable.,1,Châteauneuf-du-Pape,"Clos des Papes, Rhône","The whole outdoes its halves, and Clos des Papes stakes everything on it: no single-parcel bottlings, no prestige cuvée, every grape the Avril family grows folded into one wine. Grenache brings the warmth, Mourvèdre the spine, Syrah the shadow. Separately, good. Together, spoken for.",GSM blend,"Red, Southern Rhône",2020,14.5%,16-17°C,"Red fruit, garrigue, spice","Lamb, cassoulet",0.6,0.06,0.55,0.75,draft
The Lovers,II,"Opposites, entwined. Delicious.",1,Oberhäuser Brücke Spätlese,"Dönnhoff, Nahe","The differences do the attracting. In great Riesling, sweetness and acidity should quarrel; in Dönnhoff's hands they finish each other's sentences, orchard fruit and cold slate locked in perfect tension. Neither wins. That was never the idea.",Riesling,"White, off-dry Spätlese",2021,8.5%,9-11°C,"Peach, slate, lime blossom","Thai food, pork belly",0.85,0.6,0.05,0.35,draft
The Lovers,III,The partnership. Enviable.,1,Syrah,"Mullineux, Swartland","The best things get built in pairs. Chris and Andrea Mullineux met over wine on two different continents, married, and founded their Swartland estate in 2007; it has since been named South Africa's winery of the year multiple times. Granite-grown Syrah, floral and savory. Built together, clearly.",Syrah,"Red, Swartland",2020,13.5%,16°C,"Violet, white pepper, dark berry","Braised short rib, duck",0.65,0.05,0.55,0.65,draft
The Lovers,IV,The heart's fork. It already chose.,1,Barolo Rocche di Castiglione,"Vietti, Piedmont","Every choice is a small devotion. Vietti was among the first in Barolo to bottle single crus, back in 1961, insisting each hillside deserved its own voice rather than a comfortable blend. Rocche di Castiglione is one path taken fully: perfumed, taut, unmistakably itself.",Nebbiolo,"Red, single-cru Barolo",2018,14%,"17°C, decant 1 hr","Rose, cherry, mint","Braised veal, aged cheeses",0.7,0.05,0.75,0.65,draft
The Lovers,V,To the two of you. Cheers.,1,Brut Rosé,"Billecart-Salmon, Champagne","Some feelings insist on being celebrated. Billecart-Salmon was founded in 1818 on a marriage, Nicolas François Billecart and Elizabeth Salmon, both names on every label two centuries later. The rosé is the house's love letter: pale salmon, wild strawberry, impossibly fine bubbles. Two names, one flute.",Champagne blend,Rosé Champagne,NV,12%,8-10°C,"Wild strawberry, citrus, chalk","Sushi, berries, or nothing",0.75,0.1,0.05,0.4,draft
The Chariot,I,The head start. Deserved.,1,One Point Five,"Shafer, Stags Leap District","The finish was decided early. Shafer's One Point Five is named for a father and son running the estate as one and a half generations, momentum handed forward without slowing down. Stags Leap District Cabernet with the accelerator held: dark, plush, pointed exactly where it means to go.",Cabernet Sauvignon,"Red, Napa Cabernet",2021,14.9%,"17°C, decant 30 min","Blackberry, espresso, violet","Ribeye, lamb chops",0.55,0.06,0.65,0.85,draft
The Chariot,II,"Power, handled. Impressive.",1,Brunello di Montalcino,"Poggio di Sotto, Tuscany","Power behaves for the right hands. Poggio di Sotto grows Brunello on the warm Castelnuovo slopes and then, through long macerations and big old casks, reins all that force into something weightless and precise. Two horses, one driver. The wine arrives perfectly composed, which is the trick.",Sangiovese,"Red, Brunello",2017,14.5%,"17°C, decant 1 hr","Red cherry, orange peel, leather","Wild boar, aged pecorino",0.7,0.05,0.65,0.65,draft
The Chariot,III,"The doubters, outlasted. Vindicated.",1,Barbaresco,"Gaja, Piedmont","The doubters ran out of arguments. Angelo Gaja bottled Barbaresco's first single vineyard in 1967, brought French barriques to Piedmont over his father's objections, and priced his wine beside first-growth Bordeaux when nobody believed Italy could ask that much. They paid it. They still do.",Nebbiolo,"Red, Barbaresco",2019,14%,"17°C, decant 1 hr","Black cherry, spice, tar","Braised beef, risotto",0.7,0.05,0.7,0.65,draft
The Chariot,IV,"Rough weather, good hands. Onward.",1,Napa Valley Cabernet,"Corison, Napa Valley","Hard years make good drivers. Napa's 2011 was cold, wet, and widely written off; Cathy Corison, who never chased ripeness in the first place, steered straight through and made wines of uncommon grace that critics later lined up to praise. The weather sets the course. Somebody still has to drive.",Cabernet Sauvignon,"Red, Napa Cabernet",2011,13.3%,16-17°C,"Red currant, violet, gravel","Roast lamb, duck",0.65,0.04,0.55,0.65,draft
Strength,I,The soft touch. Strongest of all.,1,Château Montus,"Alain Brumont, Madiran","The wildest things answer to softness. Tannat is the most tannic grape in the business, so ferocious it lent its name to the word, and Alain Brumont spent a career gentling it; Montus wears all that muscle as velvet. The beast is still in there. It simply prefers her tamer now.",Tannat,"Red, Madiran",2018,14.5%,"17°C, decant 1 hr","Blackberry, cocoa, smoke","Cassoulet, duck confit",0.6,0.05,0.75,0.8,draft
Strength,II,Velvet first. The iron can wait.,1,Château Margaux,"Margaux, Bordeaux","True power rarely raises its voice. Margaux is the first growth famous for perfume rather than force, all violets and silk over a structure that holds for half a century. The iron never shows itself in company. It never has to.",Cabernet blend,"Red, first growth",2016,13.5%,"17-18°C, decant 1 hr","Violet, cassis, silk","Rack of lamb, squab",0.6,0.05,0.7,0.75,draft
Strength,III,Old strength. It holds.,1,The Freedom 1843 Shiraz,"Langmeil, Barossa Valley","Endurance is its own kind of grace. The Freedom vineyard was planted in 1843 by a Prussian refugee, and its Shiraz vines, among the oldest on earth, still bear fruit every year without irrigation or fuss. A century and a half of weather, carried lightly. The wine is dense, dark, and calm about it.",Shiraz,"Red, ancient-vine Barossa",2019,14.5%,16-17°C,"Black plum, licorice, earth","Braised beef, hard cheeses",0.5,0.08,0.6,0.85,draft
Strength,IV,Composure in the heat. Admirable.,1,Châteauneuf-du-Pape,"Château de Beaucastel, Rhône","Composure is loudest in the heat. In 2003, the hottest European summer on record, whole regions collapsed into jam; Beaucastel leaned on late-ripening Mourvèdre and old habits and stayed fresh while the continent wilted. Pressure reveals. What it revealed here was grace.",Mourvèdre blend,"Red, Châteauneuf-du-Pape",2003,14.5%,16-17°C,"Dark fruit, leather, garrigue","Game, mushroom dishes",0.55,0.06,0.6,0.8,draft
The Hermit,I,"Solitude, chosen. Understood.",1,Emperatriz Eugenia Oloroso,"Lustau, Jerez","Some things only surface in the quiet. Oloroso gives up the protection of flor early and ages alone against the air for decades, gathering walnut, orange peel, and dark caramel nobody watched it earn. A wine for one chair, one lamp. It has been alone longer than you.",Palomino,"Oloroso sherry, oxidative",NV,20%,"14-16°C, small pour","Walnut, orange peel, caramel","Aged Manchego, almonds",0.6,0.15,0.1,0.7,draft
The Hermit,II,No hurry at all. The better pace.,1,Barolo Riserva,"Borgogno, Piedmont","The best things never hurry. Borgogno holds its Barolo Riserva back in the cellar for years past the legal minimum, releasing old vintages only when the house decides they have something to say. Time is the winemaker of record here. It works slowly, and it has never once been fired.",Nebbiolo,"Red, aged Barolo Riserva",2013,14%,"17°C, decant 1 hr","Dried rose, tar, tobacco","Truffle dishes, braises",0.7,0.05,0.7,0.6,draft
The Hermit,III,The remote path. Quieter there.,1,Táganan Tinto,"Envínate, Canary Islands","The good stuff was never where the crowd went. Envínate farms ungrafted old vines on Atlantic ravines in Tenerife, plots reachable only on foot, a wine region most maps forget to label. Volcanic, herbal, quietly electric. The crowd is very far away. That was rather the idea.",Listán Negro blend,"Red, volcanic island",2021,12.5%,"14-15°C, slight chill","Sour cherry, ash, herbs","Grilled octopus, mushroom",0.7,0.04,0.35,0.5,draft
Wheel of Fortune,I,"Every chapter, counted. It adds up.",1,Brut Tradition,"Egly-Ouriet, Champagne","Every chapter led to this one. Egly-Ouriet builds its Tradition on unusually deep reserves, older wines from earlier turns of the year folded into the new, so each bottle carries seasons that came before. Golden, vinous, sure of itself. The past pays the bills here.",Pinot Noir blend,"Grower Champagne, NV",NV,12%,9-11°C,"Baked apple, brioche, hazelnut","Roast chicken, hard cheeses",0.7,0.1,0.05,0.55,draft
Wheel of Fortune,II,"The full circle. Again, gladly.",1,Matusalem VORS,"González Byass, Jerez","The same crossroads, a different season. In a solera, young wine is poured onto old and the old teaches it, a circle turning since before anyone alive can remember; Matusalem's blend averages thirty years in the round. Fig, walnut, bittersweet orange. Round it comes again.","Palomino, PX","Sweet oloroso, VORS",NV,20.5%,"14-16°C, small pour","Fig, walnut, burnt orange","Blue cheese, pecan pie",0.55,0.7,0.1,0.8,draft
Wheel of Fortune,III,Serendipity. It likes you.,1,Grange,"Penfolds, South Australia","Some things just land in the right lap. Max Schubert was ordered to stop making Grange in 1957 after the board tasted it and winced; he kept making it in secret, and the hidden vintages became Australia's most celebrated wine. Luck circles. It favors the ones already working.",Shiraz,"Red, flagship blend",2017,14.5%,"17°C, decant 2 hrs","Black fruit, mocha, spice","Beef, game",0.55,0.06,0.7,0.9,draft
Wheel of Fortune,IV,The turning point. All change.,1,Proprietary Red,"Pahlmeyer, Napa Valley","One moment changes the whole story. Pahlmeyer was an ambitious side project until Helen Turley took the cellar in the early nineties and turned it into one of Napa's most wanted names almost overnight. The hinge swung; the fortunes followed. Dense, dark, and very much the after picture.",Bordeaux blend,"Red, Napa blend",2019,14.9%,"17°C, decant 30 min","Black cherry, cocoa, cedar","Ribeye, lamb",0.5,0.08,0.65,0.9,draft
Justice,I,The equilibrium. Just so.,1,Rancia Riserva,"Fèlsina, Chianti Classico","Fair is another word for balanced. Fèlsina's Rancia grows on a former monastery site at the cool southern edge of Chianti Classico, and the wine holds fruit, acid, and tannin in almost judicial proportion, nothing favored, nothing slighted. Every element gets its say. The verdict drinks beautifully.",Sangiovese,"Red, Chianti Classico Riserva",2019,13.5%,16-17°C,"Cherry, iron, cypress","Bistecca, pasta al ragù",0.75,0.05,0.6,0.6,draft
Justice,II,Conscience included. Commendable.,1,Coyam,"Emiliana, Colchagua","Good business keeps its conscience. Emiliana converted vast plantings to organic and biodynamic farming when nobody in Chile thought it could scale, added Fair Trade certification, and put sheep where the herbicides used to be. Coyam is the proof blend: dark, spiced, and entirely above board.",Syrah-Carmenère blend,"Red, organic blend",2020,14%,16-17°C,"Black plum, spice, earth","Grilled meats, stews",0.6,0.05,0.55,0.7,draft
Justice,III,Cause and effect. The books balance.,1,Gran Reserva Carmenère,"Viña Carmen, Chile","Every effect kept its receipt. Carmenère vanished from Bordeaux with phylloxera and was mourned as extinct for a century, until 1994, when a botanist looked closely at Chile's odd 'Merlot' and found the lost grape hiding in plain sight. The books balanced a hundred years late. They always do.",Carmenère,"Red, rediscovered grape",2020,14%,16°C,"Black fruit, paprika, tomato leaf","Grilled pork, empanadas",0.55,0.05,0.55,0.7,draft
Justice,IV,Nothing hidden. Case closed.,1,Chablis Butteaux,"Domaine Raveneau, Burgundy","The truth holds up in any light. Raveneau's Chablis states its case with nothing to lean on: no showy oak, no ripeness tricks, just Kimmeridgian limestone, packed with fossil oysters, speaking through Chardonnay under oath. Stone, citrus, sea shell. The evidence speaks for itself.",Chardonnay,"White, premier cru Chablis",2020,13%,10-12°C,"Oyster shell, lemon, stone","Oysters, poached fish",0.85,0.03,0.05,0.5,draft
The Hanged Man,I,The worthwhile wait. Hang tight.,1,Amarone della Valpolicella,"Bertani, Veneto","Nothing was wasted by the waiting. Amarone begins with whole clusters hung and racked to dry for around four months, grapes suspended in cool lofts, shrinking toward their essence before a drop is fermented. Bertani then ages it for years more. Patience, concentrated. Literally.",Corvina blend,"Red, Amarone",2015,15%,17°C,"Dried cherry, fig, spice","Braised beef, aged cheeses",0.6,0.15,0.6,0.9,draft
The Hanged Man,II,The view from upside down. Clearer.,1,Los Arcos Amontillado,"Lustau, Jerez","Everything reads differently from here. Amontillado begins life under flor like a fino, then loses its veil partway and finishes upside down, oxidative, amber, bone-dry when everyone expects sherry to be sweet. Hazelnut and salt where the sugar should be. Clearer, once you hang with it.",Palomino,"Amontillado sherry, dry",NV,18.5%,12-14°C,"Hazelnut, orange peel, salt","Jamón, roasted almonds",0.65,0.05,0.05,0.55,draft
The Hanged Man,III,The precarious path. Held.,1,Ribeira Sacra Tinto,"Guímaro, Galicia","Some footholds are earned daily. Ribeira Sacra means sacred riverbank: terraces cut since Roman times into canyon walls so steep everything moves by hand and nerve. Guímaro's Mencía hangs from those ledges all season. What arrives is fragrant, cool, and worth every held breath.",Mencía,"Red, heroic viticulture",2021,13%,"14-15°C, slight chill","Red cherry, granite, herbs","Grilled octopus, sausage",0.7,0.04,0.4,0.5,draft
The Hanged Man,IV,Time first. Then the good part.,1,Côte-Rôtie,"Domaine Jamet, Rhône","First impressions rarely finish the story. Jamet's Côte-Rôtie is famously closed on opening, all smoke and stone with the door shut; give it hours in a decanter and it swings open into violets, olives, and warm iron. The wine was never withholding. It was composing itself.",Syrah,"Red, Northern Rhône",2019,13%,"16-17°C, decant 2 hrs","Violet, olive, iron","Game birds, herbed lamb",0.7,0.04,0.6,0.65,draft
Death,I,"Out of the ashes, then. Poetic.",1,Etna Rosso,"Tenuta delle Terre Nere, Sicily","The richest soil is always where something burned. Etna's vineyards climb old lava flows on a volcano that is still very much alive, and the vines send roots through rock that was once fire. Terre Nere's Nerello comes up perfumed and fine-boned. Destruction, given enough time, farms beautifully.",Nerello Mascalese,"Red, volcanic",2021,14%,15-16°C,"Sour cherry, ash, rose","Grilled fish, mushroom pasta",0.7,0.04,0.5,0.5,draft
Death,II,"The return, changed. Necessarily.",1,Ribolla Gialla,"Gravner, Friuli","What comes back is never quite the same. Josko Gravner walked away from a state-of-the-art cellar, buried Georgian qvevri in the earth, and let his Ribolla ferment on skins underground for months, the way wine was made eight thousand years ago. It returned amber, tannic, reborn. The old way, alive again, wearing a new face.",Ribolla Gialla,"Amber wine, qvevri",2015,14%,12-14°C,"Apricot skin, tea, resin","Roast fowl, aged cheeses",0.6,0.04,0.5,0.7,draft
