card,number,status,keywords,meaning_1,meaning_2,reading_1,reading_2,closing_para,closing_status,notes
The Lovers,VI,approved,Union|Harmony|Attraction|Relationships|Choice|Duality,"The Lovers is the card of union, and just as much the card of choice. It stands for attraction, partnership, and the moment two separate things decide to become one thing, along with everything that deciding costs. The romance in the name is real but never the whole story. This card is about what you commit to, and what you release in order to commit.","Drawing it means a genuine choice is on the table, the kind made with values rather than spreadsheets. Two paths, two loyalties, or two versions of a life are asking you to stop keeping both alive. The card refuses to treat that as a burden. Being chosen is what makes a bond worth anything, and choosing is the only way anything gets truly joined.","The Lovers marks a crossroads, and rarely a casual one. A relationship arriving at its define-it-or-drift moment. A partnership whose halves pull in different directions. An offer that fits your plans but argues with your values. Its counsel is to choose with the deepest loyalty you have, because a choice made against what you love buys a future that will never quite fit.","For the choosing itself, the advice is to ask what you actually love, in the order you actually love it, and let that ranking make the call. Wholeheartedness is the only currency this card accepts; a half-yes spends like a no. As for union, think of two instruments tuned to each other. Neither stops being itself. Together they make a sound neither could rehearse alone.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; Duality restored proactively per the recipe principle (had been dropped only for cross-card overlap) - flagged for confirmation"
The Chariot,VII,approved,Victory|Determination|Willpower|Control over opposing forces|Ambition|Momentum|Focus|Harnessing energy,"The Chariot is the deck's forward gear. It stands for victory, determination, and the control it takes to drive two pulling forces in one chosen direction. Other cards ask you to wait, reflect, or accept. The Chariot asks you to steer, and it fully expects you to arrive.","Drawing it means something in your life has entered its push. Progress is available now in a way it was not a month ago, and the main variable left is your grip on the reins. The card is frank about the tension: real momentum almost always involves opposing pulls, speed against control, ambition against doubt. Driving is the act of holding both.","The Chariot rolls in where determination is being asked for by name. A goal at the stage where effort visibly compounds. A conflict between two drives that both claim the wheel. A stretch of resistance that is one hard week from breaking. Its counsel is to commit to the destination out loud, because a stated finish line recruits everything in you that was still deciding.","On technique, the card is specific: firm on direction, relaxed on everything else. White-knuckling every detail spends strength the finish line will ask for, and reins were never meant to strangle. Correct course in small movements, and keep the horses fed. Control, in this card, means everything powerful in you finally pulling in the same direction.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict: Willpower and 'Harnessing energy' restored, 'Opposing forces' expanded back to 'Control over opposing forces' (different things)"
Strength,VIII,approved,Inner strength|Courage|Patience|Compassion|Discipline|Influence over force,"Strength is the card of power held gently. It stands for courage, patience, and the discipline that persuades rather than forces. The muscle here is entirely the quiet kind: where The Chariot wins by driving, Strength wins by settling the animal down without raising its voice. It is the deck's kindest picture of power.","Drawing it means something is testing your composure rather than your capability. There is a force in the picture, a temper, an appetite, a fear, a difficult person, and the card is clear about the winning approach: steadiness. What resists pressure often responds to patience. It also insists that the strength in question is already yours, built from nothing more exotic than nerve held quietly over time.","Strength gathers around situations that force cannot fix. A conversation that will go exactly as well as your temper allows. A habit that laughs at willpower but yields to routine. A frightened person, possibly you, who needs calm more than solutions. Its counsel is to lower your voice at the moment raising it would feel best, and watch what that does.","Its advice is to trust the soft approach for longer than feels natural, since gentleness tends to get abandoned a week before it would have worked. Courage here looks like staying: steady, unhurried, and unimpressed by the noise, until the situation stops bracing against you. Everyone who has ever gentled a wild thing knows the secret, and the secret was never the whip.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user confirmed 'taming primal urges with grace' belongs in the prose (too complex for a symbols list)"
Wheel of Fortune,X,approved,Luck|Cycles|Fate|Turning points|Ups and downs|Opportunity,"The Wheel of Fortune is the card of the turn. It stands for luck, cycles, and the larger rotation that carries situations up, over, and around whether anyone consents or not. It is the deck's honest admission that some forces are bigger than planning. Fortunes rise, fall, and rise again on a timetable nobody is shown, and this card marks a moment when the timetable moves.","Drawing it means a turning point has arrived or is close. Circumstances that held one shape for a long time are being reshuffled, and luck, that unfashionable word, is genuinely in play. It asks only that you loosen your grip on the version of events you had planned, because seasons change on their own authority, and nobody has ever argued the weather into different behavior.","The Wheel marks the exact spots where effort and outcome disconnect. A break that arrived from nowhere. A long unlucky stretch that is quietly running out. A door that opened the same week another closed. Its counsel is readiness rather than credit-taking or blame: position yourself where the good turn can reach you, and answer quickly when it does.","The Wheel's advice is to think in seasons rather than verdicts. What it takes, it tends to return in another form, and what it brings deserves to be used rather than audited for worthiness. Timing is this card's whole department; deserving is filed somewhere else entirely. So spend the good turn while it is here. Luck that goes unclaimed simply rolls on to the next open hand.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; Luck-first reorder praised (lead keywords may be reordered to match the product's own take)"
Justice,XI,approved,Fairness|Truth|Cause and effect|Balance|Accountability|Clarity|Impartiality,"Justice is the card of cause and effect. It stands for fairness, truth, accountability, and the long ledger in which everything is eventually counted. It is the least mystical card in the deck. Where the Wheel of Fortune deals in luck, Justice deals in consequence: every outcome has a cause, and the cause, on inspection, was usually a choice.","Drawing it means a situation is moving toward its fair result. Something is being weighed: a decision, a dispute, an imbalance that has run longer than anyone admits. The card's promise cuts in both directions, because it deals in what is deserved rather than what is hoped. If you have been carrying more than your share, the tilt corrects in your favor. If a corner was cut, true it up before the measuring starts.","Justice turns up where an evening-out is due. A matter awaiting someone's decision. A pattern of giving that has not been returning. A consequence, welcome or not, arriving exactly on time. Its counsel is clean hands and clear records: act as if everything will be reviewed, because under this card it will be.","Justice asks you to be the fairest actor in the room, starting with the account you keep of yourself. Honesty about your own part is the entry fee, and it buys something valuable: a verdict you can stand behind without flinching. Balance, in the end, is kept the way good books are kept, entry by entry, until the columns agree.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict: Impartiality restored (overlooked when people mistake righteous indignation for fairness)"
The Hanged Man,XII,approved,Suspension|Pause|Surrender|Letting go|Sacrifice|Limbo|Patience|Seeing things differently,"The Hanged Man is the card of the deliberate pause. It stands for suspension, surrender, and the strange usefulness of a stretch where nothing can be pushed forward. The figure hangs upside down by choice, and that detail is the whole card: this is a stop taken on purpose, or one that becomes purposeful once accepted.","Drawing it means some part of life is in suspension, and pushing is not moving the date. The card's instruction is to stop treating the pause as a malfunction, because limbo has work of its own. Hung in place, a person ends up seeing the situation from an angle effort never allows, and that view is the point of the whole delay.","The Hanged Man settles over everything that refuses to be hurried. An answer that will come when it comes. A recovery on its own calendar. A plan parked while the world catches up. Its counsel is surrender of the practical kind: since the wait cannot be shortened, stop paying for it twice, once in time and again in frustration.","Its deeper advice is to use the stillness rather than merely endure it. Ask what the situation looks like when you are not managing it, because some truths only visit people who have stopped struggling. Willing sacrifice runs through this card too: something small is usually given up to hold the position. Surrender it gracefully. Fruit hangs upside down while it ripens, and it is not wasting the time.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; 'Sacrifice' over 'martyrdom' approved as wise"
Temperance,XIV,approved,Balance|Moderation|Patience|Blending|Alchemy|Integration|Finding the middle path|Purpose,"Temperance is the card of the perfect mix. It stands for balance, moderation, and the patient blending of things that were never supposed to work together. Its skill is proportion: not too much, not too little, poured back and forth until the parts stop being parts. Of all the deck's virtues, this is the least showy and the hardest to actually do.","Drawing it means something in your life is asking for proportion rather than force. Two demands, two moods, or two loyalties want integrating, and the winning move is a measured one: some of each, in the right ratio, adjusted slowly. The card has no interest in extremes, and that is a stance, not a shrug. Anyone can pour everything out. Knowing exactly how much takes the steadier hand.","Temperance drifts toward the places where balance has slipped. A work life and a home life negotiating for the same hours. An appetite that has been running the schedule. A conflict where both sides hold a piece of the right answer. Its counsel is adjustment over overhaul: small corrections, made early and often, beat the dramatic swing every time.","Temperance asks you to keep faith with proportion even when the extremes look more decisive. The blend is where the skill shows: patience mixed into ambition, honesty tempered with kindness, rest folded into effort until the whole thing holds. Do the mixing slowly and taste as you go. Nobody ever built a lasting anything from a single ingredient.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict: Alchemy moved up beside Blending ('the impossible quest for something greater than the sum of its parts'; not magic, more powerful than magic)"
The Devil,XV,approved,Temptation|Bondage|Addiction|Obsession|Materialism|The shadow self|Pleasure traps|Raw energy|Humor about flaws,"The Devil is the card of temptation and of every chain a person fastens on themselves. It stands for appetite, obsession, and the comfortable arrangements that quietly run the show: the habit, the luxury, the pattern that started as pleasure and stayed as management. The figure on the card holds people in loose chains, and the loose part matters more than the chains do.","Drawing it means something has more of your leash than you usually admit, and the card wants the admission more than the repentance. It is honest about the mechanics: the binding here is voluntary, renewed daily, and dressed as reward. That same honesty is the way out. A chain you fastened yourself comes with your own hand already on the clasp.","The Devil grins from inside the pattern you already know about. A habit that answers to nobody. A purchase, a person, or a pleasure with more pull than it should have. An old coping trick that outlived what it was coping with. Its counsel is precision: name the attachment out loud, without theatrics, because a named appetite loses its favorite hiding place.","The card's advice arrives with a wink, having no patience for denial or for self-flagellation either. It treats enjoyment as innocent and being managed as the entire case: keep the pleasures, fire the manager. Laugh at your flaws while you take their inventory, since solemnity has a poor record against habits. And note what the picture shows. The chains are loose enough to lift off, which makes staying a choice too.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; Temptation-first reorder and prose-carried 'self-imposed' both approved"
The Star,XVII,approved,Hope|Inspiration|Renewal|Serenity|Spiritual guidance|Generosity|A sense of purpose|Optimism after hardship,"The Star is the card of hope with evidence. It stands for renewal, serenity, and the quiet that follows a hard stretch once the sky has finally cleared. It sits directly after The Tower in the deck, and the placement is the meaning: after the collapse, a calm, wide-open night, and the first believable reasons to look up again.","Drawing it means the worst of something is over, and a gentler season is opening, provided you let it be gentle. Relief can be hard to trust after a long strain; the card suggests trusting it anyway. Nothing needs forcing now, and very little needs deciding. Healing, under this card, happens on its own once the pressure stops. The only assignment is to stop supplying the pressure.","The Star rises over whatever you have just come through. A crisis that has finally exhausted itself. A wound at the itching stage of mending. A hope you shelved during the hard part and can now take down again. Its counsel is replenishment: rest, water, small honest pleasures, and no sudden ambitions until the reserves are actually back.","The Star's advice is generosity, especially toward yourself, because generosity is what surplus does, and you are being refilled. Share what the hard stretch taught you; someone a few steps behind needs exactly that. Keep one small light in view, a purpose, a person, a promise, and steer by it without hurrying toward it. Stars were made for navigating, and navigation only asks that you keep them in sight.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols incl. 'A sense of purpose' and 'Optimism after hardship'"
The Sun,XIX,approved,Joy|Success|Optimism|Vitality|Warmth|Clarity|Enlightenment|Being your true self|Simple pleasures,"The Sun is the deck's card of plain joy. It stands for success, vitality, warmth, and things being every bit as good as they look. Where The Moon deals in shadows and maybes, The Sun deals in daylight. What shines under this card is real, and the goodness on display is the whole story.","Drawing it means some part of life is simply working, and the card's first instruction is to notice. Enjoyment takes more discipline than it gets credit for: a good thing can be inspected until the shine wears off, and this card asks you to skip the inspection. Success is allowed to be uncomplicated here. Permission is most of the message, and it is granted.","The Sun lights up whatever deserves celebrating right now. A win that came in clean. A body or a mood returning to strength. A person whose company asks nothing and gives plenty. Its counsel is to be present for the good day while it is happening, since joy postponed for a safer moment has a way of expiring unclaimed.","The Sun's other request is that you let yourself be seen enjoying it. Playing happiness down protects nothing and dims the room, warmth being the one resource that grows by the spending. Be the easy company today. Say the kind thing out loud, take the walk in the actual sunshine, and let simple be enough. Children understand this card instinctively. The whole trick of it is that there is no trick.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; full Symbols recipe kept (nine entries, incl. 'Being your true self')"
Judgement,XX,approved,Reckoning|Rebirth|The inner calling|Absolution|Awakening|A second chance|A new purpose|Evaluating the past,"Judgement is the card of the reckoning and the rebirth that follows it. It stands for the moment the past asks to be reviewed, a call that has to be answered, and the clean strength that comes from finally answering. The name sounds like a courtroom, but the verdict this card most often deals in is absolution.","Drawing it means something unfinished is resurfacing, and this time it wants settling rather than another burial. An old ambition, an old wound, an old version of you is calling for a decision. The card is firm about the direction: review the past honestly, keep what still rings true, forgive the rest, and rise. What answers the call gets to begin again, lighter, and it is meant to be you.","Judgement sounds its horn over the unresolved. A conversation that has waited years for its second half. A calling you talked yourself out of once. A self-assessment that is overdue and, secretly, already drafted. Its counsel is to answer rather than deliberate, because a call like this does not improve with screening.","Conduct the review like a fair judge rather than a prosecutor; the point of this reckoning was never punishment. Grant the pardons, starting with your own. Take the lesson, leave the sentence, and step into whatever the calling asks of you, changed and unembarrassed about it. Second chances keep a short boarding window. This card is the sound of yours being announced.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; omitting the card's own name approved as a wise edit; Reckoning lead kept"
The World,XXI,approved,Completion|Integration|Accomplishment|Travel|Unity|Wholeness|The end of a cycle,"The World is the deck's final card, and it means what a final card should: completion, wholeness, the moment a long arc actually closes. It stands for accomplishment with nothing missing from it, integration, and the rare feeling of standing inside a result you once could only describe.","Drawing it means something big is completing, or has, and the completion deserves to be treated as an event rather than a checkbox. A degree, a move, a recovery, a project years in the making: whatever it is, all of its parts have finally agreed to be one thing. The card's insistence is on the pause. Stand in the finished thing, look around, and let it count before anything new is allowed to start the clock again.","The World waits at true endings, the finished kind. A goal crossing from in-progress to done. A cycle that has taught what it had to teach. A long effort that ends with nothing left owing. Its counsel is to close it consciously: say the thank-yous, file the lessons, and resist starting the sequel out of sheer momentum.","Celebrate at full size, without deflecting; that is most of the instruction. Completion is rare, most things in a life stay partial, and that is exactly why this one should be marked properly. When the celebrating is done, notice what the finishing made of you, because that is the part you keep. A completed circle releases its traveler, one lap wiser, onto larger ground.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords straight from the Symbols; set of seven"
Ace of Wands,W01,approved,A new spark|Inspiration|Potential|Creative energy|Taking initiative|Enthusiasm|Conception,"The Ace of Wands is the first card of the suit of fire, the family of the deck that governs passion, creativity, and drive. Every ace is a seed, and this one is the live spark: pure creative urge arriving before it has a plan, a shape, or even a name. All of that comes later. The spark's only job is to catch.","Drawing it means an itch to make something has entered the room: an idea that showed up mid-shower, an enthusiasm you cannot fully explain, energy looking for a place to burn. The card asks for kindling rather than architecture. Do one small real thing with the spark today, because inspiration converts to momentum through action and evaporates through scheduling.","The Ace of Wands flares up around beginnings that feel physical. A creative urge with an actual pulse to it. An enthusiasm that arrived from nowhere this week. A first step that keeps tapping you on the shoulder. Its counsel is speed in miniature: strike while it is hot, but strike small, a sketch, a message, an hour, not a life plan.","Above all, protect the flame from your own analysis. New fire is fragile: explain it too early, budget it too hard, or show it to the wrong committee, and it goes out looking reasonable the whole time. Feed it in private first. Wands begin everything; whether this one becomes a bonfire is next month's question, and lighting it is this week's.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; suit/rank orientation pattern APPROVED as the template for all 56 minors"
Two of Wands,W02,approved,Planning|Foresight|Decision-making|Initial progress|Ambition|Looking outward,"The Two of Wands is the planner's card of the fire suit. It stands for foresight, ambition, and the moment a spark from the Ace grows serious enough to deserve a strategy. The figure on the card holds a globe in one hand: the idea has outgrown the room it started in, and the question has become where to take it.","Drawing it means you are standing between the decision to act and the acting itself, weighing a known comfort against an open horizon. The card respects the pause; foresight is genuine work, and it is being done. But it also sets a quiet deadline. Plans mature, and then they spoil, and what separates a vision from a daydream is a departure date.","The Two of Wands hovers over choices about scale. A venture that could stay safe or go wide. An ambition that has outgrown its current container. An early win asking whether it was a pilot or the whole program. Its counsel is to plan like a realist and choose like an ambitious one, because security rarely needs a champion and possibility always does.","Its advice is to look outward deliberately. Study whoever has already done the bigger version, price the actual risk instead of the imagined one, and notice how much of the safety being protected is familiarity wearing a uniform. Then pick a direction while options still exist. The advantage of high ground is choosing a route before the road starts choosing for you.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user confirmed dropping '(often between security and exploration)': slightly too complex for a symbol"
