card,number,lens_no,nudge,lens_name,lens_subtitle,wine_mapping_idea,status
The Star,XVII,I,,A clear night,clarity is its own comfort,"pure crystalline styles: Blanc de Blancs Champagne, Chablis, high-altitude Torrontés",draft
The Star,XVII,II,,After the storm,even ruins get a morning,"comeback regions: Château Musar (made through Lebanon's civil war), Swartland renewal",draft
The Star,XVII,III,,A guiding light,purpose steadies everything it touches,"guiding philosophy: Coulée de Serrant (Joly), DRC biodynamics",draft
The Star,XVII,IV,,An open hand,wisdom shared loses nothing,generous mentors: Robert Mondavi's mentorship legacy,draft
The Sun,XIX,I,,A golden year,some years simply go right,"famously sunny vintages: 2009 Bordeaux, 2015 Burgundy",draft
The Sun,XIX,II,,A long afternoon,the warm ones never rush,"sun-drenched rich styles: Barossa Shiraz, Châteauneuf-du-Pape, Sauternes",draft
The Sun,XIX,III,,A simple joy,the best pleasures skip the fine print,"radiant uncomplicated styles: Provence rosé, Albariño",draft
The Sun,XIX,IV,,A standing ovation,joy insists on company,"celebration sparkling: Vintage Champagne, Ca' del Bosco Franciacorta",draft
Judgement,XX,I,,A verdict overturned,history reserves the right to change its mind,"Judgement of Paris 1976: Stag's Leap Wine Cellars, Chateau Montelena",draft
Judgement,XX,II,,A second hearing,dismissed was never the final word,"re-evaluated and redeemed: Cru Beaujolais rebirth, serious Muscadet",draft
Judgement,XX,III,,Back from the dead,ruin was only intermission,"phoenix estates: Mayacamas, Château de la Maltroye",draft
Judgement,XX,IV,,A name reclaimed,extinction has exceptions,"resurrected varieties: Arnot-Roberts Trousseau, Rossese in Liguria",draft
Ace of Wands,W01,I,,A debut,firsts carry a thrill nothing repeats,first release of an anticipated winery: Ashes & Diamonds debut,draft
Ace of Wands,W01,II,,A live wire,energy this fresh can't sit still,"high-energy vibrant styles: Rias Baixas Albariño, young Gamay, Pét-Nat",draft
Ace of Wands,W01,III,,A new idea catching,inspiration is contagious,"creativity-sparking styles: Bedrock field blends, Salta Torrontés",draft
Ace of Wands,W01,IV,,Big things ahead,greatness starts as a hint,young wines with obvious potential: young Barolo / Napa Cabernet needing time,draft
Two of Wands,W02,I,,A foot in each world,the past and the future can share a table,tradition-and-innovation balance: modern-classic Rioja and Barolo houses,draft
Two of Wands,W02,II,,A road not taken yet,"two futures, both still open","the Rioja oak debate, a historical fork: López de Heredia Tondonia vs Muga Reserva",draft
Two of Wands,W02,III,,Early returns,promise shows itself ahead of proof,early-promise wines: a rising star's second or third release (Realm Cellars early days),draft
Two of Wands,W02,IV,,Eyes on the horizon,somewhere else keeps calling,exploratory ventures: an established Burgundy house planting Oregon (Drouhin),draft
Three of Wands,W03,I,,A bigger map,what worked here works out there,"successful expansion: Orin Swift portfolio, Duckhorn's Decoy",draft
Three of Wands,W03,II,,Ships on the horizon,the long routes made the legends,"trade-route wines: Taylor Fladgate LBV Port, Madeira shaped by sea voyages",draft
Three of Wands,W03,III,,A promise kept,patience got exactly what it ordered,promise fulfilled: 2010 / 2016 Rioja Gran Reserva entering its prime window,draft
Three of Wands,W03,IV,,A far-reaching name,good news travels fluently,"international reach: Penfolds, Veuve Clicquot global houses",draft
Four of Wands,W04,I,,Raise the roof,joy is louder shared,"celebratory sparkling: true Champagne, Prosecco Superiore DOCG",draft
Four of Wands,W04,II,,Everyone's invited,the best gatherings run on ease,"crowd-pleasing harmony: Fleurie, Washington Merlot, Côtes du Rhône Blanc",draft
Four of Wands,W04,III,,A house with deep roots,stability is the quiet luxury,"long-standing family estates: Trimbach, Stag's Leap Wine Cellars",draft
Four of Wands,W04,IV,,A milestone kept,some dates get kept forever,"completion markers: birth-year Vintage Port, Sauternes for the sweet conclusion",draft
Five of Wands,W05,I,,Sparks flying,friction means everyone showed up,"dynamic tension: young Northern Rhône Syrah, cool-climate Pinot with unresolved edges",draft
Five of Wands,W05,II,,A crowded field,rivalry raises everyone's game,"competitive terroirs: neighboring Barolos of Monforte d'Alba, Howell Mountain Cabernets",draft
Five of Wands,W05,III,,Pick a side,the interesting ones split the room,"debate-provoking styles: funky naturals, Uruguayan Tannat, oaked Chardonnay",draft
Five of Wands,W05,IV,,A fight with the rules,some arguments improve the world,Tignanello's defiance of the DOCG system (bottled as humble Vino da Tavola),draft
Six of Wands,W06,I,,Wearing the laurels,acclaim finds the deserving eventually,award-winning high-scored wines: recent Decanter golds / 95+ point releases,draft
Six of Wands,W06,II,,A return to form,the struggle made the triumph sweeter,breakthrough vintage after hard years: 2018 Burgundy after the frost and hail years,draft
Six of Wands,W06,III,,Toast of the town,success is best public,"public-celebration wines: Pierre Péters grower Champagne, Shafer One Point Five",draft
Six of Wands,W06,IV,,Proof in the record,getting better is a habit,confident progress: a Ridge Monte Bello vertical across vintages,draft
Seven of Wands,W07,I,,No ground given,conviction doesn't rotate with fashion,"defended tradition: Domaine Roulot's vineyard-identity fight, Cappellano's no-scores Barolo",draft
Seven of Wands,W07,II,,Standing apart,distinct beats familiar in the long run,"standing out in a crowd: Quincy / Reuilly beside Sancerre, small Anderson Valley Pinot",draft
Seven of Wands,W07,III,,Against the odds,the hard-won kind lasts,"perseverance wines: steep Mosel and Côte-Rôtie farming, tiny frost-year yields",draft
Seven of Wands,W07,IV,,A rescue mission,what's worth saving finds defenders,"indigenous grapes preserved: Foradori Teroldego, Envínate Táganan Blanco",draft
Eight of Wands,W08,I,,No time wasted,fresh is a flavor of its own,"released-young freshness: Beaujolais Nouveau (weeks from harvest), Vinho Verde",draft
Eight of Wands,W08,II,,Blink and it changes,the good stuff moves quickly,"rapid development in the glass: young aromatic Sauvignon Blanc, Valpolicella Classico",draft
Eight of Wands,W08,III,,A racing pulse,some energies refuse to idle,"zippy momentum: dry Lambrusco di Sorbara, New Zealand Sauvignon Blanc",draft
Nine of Wands,W09,I,,Still on the wall,what survived the years earned them,resilience through age: well-kept 1980s-90s Bordeaux still showing vitality,draft
Nine of Wands,W09,II,,Built for hard weather,tough places breed tough character,"hardy resilient vines: windswept Santorini Assyrtiko, century-old Lodi Zinfandel",draft
Nine of Wands,W09,III,,"Walls up, for now",good defenses take years to soften,"strong structure as boundary: Madiran Tannat, traditional Barolo's tannic walls",draft
Nine of Wands,W09,IV,,Almost there,so close the wait turns sweet,nearing peak but guarded: maturing Premier Cru Burgundy just opening,draft
Ten of Wands,W10,I,,A heavy crown,density is its own achievement,"intense concentration: 16%+ Amarone, blockbuster-era Napa Cabernet",draft
Ten of Wands,W10,II,,Carried by hand,some work cannot be delegated,"labor-intensive wines: steep Douro / Priorat manual harvests, hand-sorted Tokaji Aszú",draft
Ten of Wands,W10,III,,A hard year's haul,struggle leaves fingerprints,"difficult-vintage burden: drought-year concentration, 2016 hail-year Burgundy sorting",draft
Ten of Wands,W10,IV,,An acquired taste,made for the few who can carry it,"overwhelming character: Cayuse Bionic Frog, Rocks District Syrah",draft
Page of Wands,W11,I,,A first taste of elsewhere,the unfamiliar is an invitation,"brand-new grapes and regions: Georgian Saperavi, English sparkling (Nyetimber)",draft
Page of Wands,W11,II,,A wild experiment,curiosity makes its own rules,"experimental batches: skin-contact Friuli orange, amphora ferments",draft
Page of Wands,W11,III,,All enthusiasm,energy forgives inexperience,"bright youthful styles: Tavel rosé, Dolcetto, Beaujolais-Villages",draft
Page of Wands,W11,IV,,A curious perfume,some first impressions demand answers,"curiosity-sparking aromatics: Gewürztraminer's lychee and rose, Grüner's white pepper",draft
Knight of Wands,W12,I,,No introductions needed,boldness announces itself,"attention-grabbing bold: McLaren Vale Shiraz, Dry Creek Zinfandel, Sagrantino",draft
Knight of Wands,W12,II,,Off to the frontier,the daring get the best views,"pioneering regions: high-altitude Uco Valley, Patagonia and Tasmania extremes",draft
Knight of Wands,W12,III,,A spur of the moment,the best stories start abruptly,"impulsive speed: Nouveau-style releases, early-bottled naturals",draft
Knight of Wands,W12,IV,,A little fire in it,some warmth arrives armed,"fiery spicy notes: black-pepper St-Joseph Syrah, Austrian Blaufränkisch",draft
Queen of Wands,W13,I,,Sure of herself,self-assurance reads instantly,"confident expressive wines: Meursault, Spottswoode Cabernet",draft
Queen of Wands,W13,II,,A radiant welcome,generosity is magnetic,"warmth and generosity: Condrieu Viognier, balanced Châteauneuf Grenache",draft
Queen of Wands,W13,III,,An empire of her own,underestimated is a temporary condition,"determined female leaders: Veuve Clicquot (widowed at 27, built the house), Bize-Leroy, Corison",draft
Queen of Wands,W13,IV,,Bright and deep at once,the glow goes all the way down,"vibrancy plus depth: aged Riesling GG, Brunello's cherry and earth",draft
King of Wands,W14,I,,A vision made real,someone saw all this coming,"visionary estates: Sassicaia (Super Tuscan pioneer), Vega Sicilia Unico",draft
King of Wands,W14,II,,Command of the room,authority is felt before it's explained,"bold commanding wines: Barolo Riserva, Joseph Phelps Insignia, Dom Pérignon",draft
King of Wands,W14,III,,Built from nothing,the boldest bets built the biggest names,"entrepreneurial triumphs: Robert Mondavi from scratch, Le Pin's garage fame",draft
Ace of Cups,C01,I,,An open heart,beginnings feel exactly like this,"purity and joy: Provence rosé, Chablis, crisp Sancerre",draft
Ace of Cups,C01,II,,Running over,what's full past the brim gets shared,"effervescent overflow: Bollinger Special Cuvée NV, Prosecco Superiore",draft
Ace of Cups,C01,III,,On instinct,instinct rarely needs editing,"intuitive minimal intervention: well-made Pét-Nat, Donkey & Goat naturals",draft
Ace of Cups,C01,IV,,Simply itself,the direct approach charms most,"unadorned purity: unoaked Gamay, Albariño, tank-fermented Sauvignon Blanc",draft
Two of Cups,C02,I,,In perfect step,harmony is two things agreeing,"seamless balance: Volnay Pinot, Beaucastel GSM",draft
Two of Cups,C02,II,,Meant for two,some pleasures require company,"made-for-sharing wines: Grüner Veltliner at the table, Rioja Crianza",draft
Two of Cups,C02,III,,A meeting of equals,the right match doubles everything,"cross-world partnerships: Seña (Mondavi and Chadwick), Almaviva (Rothschild and Concha y Toro)",draft
Two of Cups,C02,IV,,Give and take,"difference, met kindly, becomes balance","contrasts united: Dönnhoff Spätlese's sweet and acid, Huet Vouvray Sec",draft
Three of Cups,C03,I,,The more the merrier,joy scales beautifully,"celebratory crowd-pleasers: Gramona Cava, Fleurie and Morgon crus",draft
Three of Cups,C03,II,,Around one table,good company improves everything on it,"connection wines: Côtes du Rhône Blanc, Dolcetto d'Alba",draft
Three of Cups,C03,III,,The whole town dancing,abundance was made for sharing,harvest celebration: Beaujolais Nouveau's festival release,draft
Three of Cups,C03,IV,,A village's pride,"many hands, one triumph",village cooperative: Produttori del Barbaresco (a whole town pooling its best),draft
Four of Cups,C04,I,,Worth a second look,boring is usually a first impression,"subtle patience wines: Muscadet sur lie (Pépière), Savennières",draft
Four of Cups,C04,II,,Right under my nose,it was there the whole time,"overlooked gems: dry Tokaji Furmint (Oremus Mandolás), Alto Adige Kerner",draft
Four of Cups,C04,III,,Maybe I was wrong,tastes change when nobody's watching,"re-evaluated verdicts: post-Sideways Merlot, once-dismissed styles retried",draft
Four of Cups,C04,IV,,"Out of fashion, not out",neglect says nothing about worth,"fallen-from-favor styles rediscovered: Sherry, Marsala (De Bartoli's unfortified Marsala)",draft
Five of Cups,C05,I,,Forged in a bad year,difficulty leaves depth behind,difficult-vintage complexity: 2016 hail-year Burgundy salvaged by top growers,draft
Five of Cups,C05,II,,A late bloomer,what starts stern often ends generous,"austerity needing time: young Nebbiolo, Saumur-Champigny",draft
Five of Cups,C05,III,,A quiet companion,some moods prefer quiet company,"solace and contemplation: 20-Year Tawny Port, Amontillado Sherry",draft
Five of Cups,C05,IV,,Two cups still standing,what remains is enough to rebuild,phylloxera loss and rebirth: modern European vines grafted onto surviving rootstock,draft
Six of Cups,C06,I,,Like coming home,the familiar holds its own kind of depth,"comforting classics: Felsina Chianti Classico, Washington Merlot",draft
Six of Cups,C06,II,,An old song replayed,the past knew a few things,"nostalgic revivals: quality Lambrusco di Sorbara, heritage-vineyard Zinfandel",draft
Six of Cups,C06,III,,Easy does it,uncomplicated is underrated,"simple pleasures: Vinho Verde, Beaujolais-Villages, Campo de Borja Garnacha",draft
Six of Cups,C06,IV,,A family recipe,some gifts arrive generations late,"long-family estates: Perrin, Torres, Antinori lineages",draft
Seven of Cups,C07,I,,A hall of mirrors,every layer shows a different face,"shifting complex profiles: Alsace Gewürztraminer, Douro field blends",draft
Seven of Cups,C07,II,,A trick of the senses,the first impression is a decoy,"deceptive traits: dry Muscat (smells sweet, finishes bone-dry), Jura Trousseau",draft
Seven of Cups,C07,III,,All that glitters,shine and substance travel separately,hype versus reality: celebrity-label wines (poured playfully),draft
Seven of Cups,C07,IV,,A door to elsewhere,imagination accepts every invitation,"exotic dream-sparkers: Château-Chalon, Salta Torrontés, orange wines",draft
Eight of Cups,C08,I,,A brave goodbye,leaving takes more nerve than staying,"producers who walked away: growers leaving Champagne co-ops, conventional-to-natural converts",draft
Eight of Cups,C08,II,,Deeper than it looks,meaning sits below the surface,"journey-into-the-glass wines: aged Riesling Spätlese, Vin Jaune",draft
Eight of Cups,C08,III,,A distant address,the search led somewhere quiet,"remote pioneering regions: Central Otago, England's sparkling pioneers",draft
Nine of Cups,C09,I,,Every wish granted,satisfaction can be total,"wish-list icons: Château d'Yquem, Shafer Hillside Select",draft
Nine of Cups,C09,II,,Pure indulgence,pleasure needs no defense,"hedonistic riches: Dal Forno Amarone, PX Sherry",draft
Nine of Cups,C09,III,,A warm blanket,"comfort, done well, is profound","pure-comfort wines: 30-Year Tawny Port, plush California Merlot",draft
Ten of Cups,C10,I,,The whole family here,the table is the true wealth,milestone family celebrations: Vintage Champagne (Krug) for the big days,draft
Ten of Cups,C10,II,,Nothing missing tonight,complete is a feeling,peak-maturity culmination: aged First Growth at its perfect window,draft
Ten of Cups,C10,III,,A house of generations,happiness can be inherited,"multi-generational families: Henschke, Perrin, Antinori",draft
Page of Cups,C11,I,,Barely above a whisper,soft voices carry far,"delicate expressive styles: Moscato d'Asti, Sancerre Rouge",draft
Page of Cups,C11,II,,A message in a dream,whimsy knows things logic doesn't,creative-spark charm: Mosel Riesling Kabinett (Dr. Loosen),draft
Page of Cups,C11,III,,Guided by feel,sensitivity is a skill,"intuitive gentle farming: Joly's Savennières, sensitive naturals",draft
Page of Cups,C11,IV,,A hidden note,the quiet details reward the curious,"subtle nuance: Pieropan Soave Classico, Fino Sherry",draft
Knight of Cups,C12,I,,A charm offensive,seduction is a fair opening move,"romantic charmers: Billecart-Salmon Brut Rosé, Chambolle-Musigny",draft
Knight of Cups,C12,II,,Beauty in every detail,beauty is worth the errand,"art-and-beauty estates: Mouton Rothschild's artist labels, Castello Banfi",draft
Knight of Cups,C12,III,,Led by ideals,conviction is attractive,"idealist producers: Leflaive's biodynamics, Rietsch's natural turn in Alsace",draft
Queen of Cups,C13,I,,A steady comfort,care this deep feels effortless,"nurturing wines: López de Heredia Rioja, 20-Year Tawny Port",draft
Queen of Cups,C13,II,,A knowing kindness,the gentle ones understand the most,"depth with empathy: mature Meursault (Roulot), Huet Vouvray Moelleux",draft
Queen of Cups,C13,III,,A quiet hour,stillness restores what noise takes,"calm contemplation: Amontillado and Oloroso Sherry (Lustau, Valdespino)",draft
Queen of Cups,C13,IV,,An old remedy,some comforts were once called medicine,restorative history: Madeira's medicinal past,draft
King of Cups,C14,I,,Calm at the center,composure is the deepest strength,"seamless mature power: Château Palmer, aged Barolo (Giacomo Conterno)",draft
King of Cups,C14,II,,Wisdom by degrees,time is the honest teacher,"patience-integrated age: aged Rioja Gran Reserva, old Hunter Valley Semillon",draft
King of Cups,C14,III,,Restraint in command,the strongest hand stays lightest,"masterful restraint: Léoville Barton claret, Pierre Péters finesse",draft
Ace of Swords,S01,I,,Cut to the truth,one clean stroke settles it,"piercing clarity: Sancerre, Santorini Assyrtiko",draft
Ace of Swords,S01,II,,A fine edge,exactness is a kind of beauty,"precise focus: Salon Blanc de Blancs, FX Pichler Grüner Veltliner",draft
Ace of Swords,S01,III,,Food for thought,some pleasures are for the mind,"intellectually stimulating: aged Muscadet sur lie, Etna Bianco",draft
Two of Swords,S02,I,,A standoff,neither side intends to blink,"structural tension: Thymiopoulos Xinomavro, Gattinara Nebbiolo",draft
Two of Swords,S02,II,,"Eyes closed, for now",some answers hide on purpose,"closed ""dumb phase"" wines: 2005 Bordeaux (Montrose) in its shut years",draft
Two of Swords,S02,III,,A truce of two schools,both sides had a point,Alsace's grape-versus-terroir truce: Trimbach Clos Ste Hune beside Deiss Altenberg,draft
Three of Swords,S03,I,,A painful clarity,the truth rarely pads its corners,"piercing acid clarity: Domaine de l'Ecu Muscadet 'Granite', Ulysse Collin low-dosage",draft
Three of Swords,S03,II,,No soft landing,not everything wants to be liked,"austere demanding styles: young Sagrantino (Paolo Bea), Cornas (Clape)",draft
Three of Swords,S03,III,,An inheritance of sorrow,what breaks a heart can build a legacy,"heartbreak successions: Dagueneau 'Silex' circa 2008 (son inherits mid-harvest), Continuum after the Mondavi split",draft
Four of Swords,S04,I,,Years of quiet,rest is where depth accumulates,"cellar rest: Léoville Barton, Bartolo Mascarello Barolo, Jamet",draft
Four of Swords,S04,II,,Room to breathe,a pause changes everything after it,decanting rest: Dunn Howell Mountain needing hours of air,draft
Four of Swords,S04,III,,An hour of stillness,slow evenings earn their secrets,"contemplative mature wines: aged Vosne-Romanée, Oloroso Sherry",draft
Five of Swords,S05,I,,A hollow win,trophies weigh less than they look,"the Parkerization era: 90s-2000s blockbuster scores won at the cost of terroir",draft
Five of Swords,S05,II,,A war over titles,status is an expensive argument,"Saint-Émilion classification feud: Ausone and Cheval Blanc quitting in 2022",draft
Five of Swords,S05,III,,An old feud,both camps swore they were right,the Barolo Wars: Altare's barriques against Mascarello's old casks,draft
Six of Swords,S06,I,,A sea crossing,distance finishes what land began,"journey-over-water wines: Madeira, East India Solera Sherry",draft
Six of Swords,S06,II,,A fresh start elsewhere,a change of place changes the story,producer transitions: Véronique Drouhin bringing Burgundy to Oregon,draft
Six of Swords,S06,III,,Quieter waters,the simplest comfort follows the storm,"clean clarity after complexity: Fiano di Avellino, Vermentino",draft
Six of Swords,S06,IV,,An island apart,some places keep their own counsel,"island terroirs: Etna (Foti), Santorini, Corsica (Arena)",draft
Seven of Swords,S07,I,,A convincing disguise,imitation studies its subject,"mimicry and misdirection: New World Pinot playing Burgundy, deceptively light Grenache",draft
Seven of Swords,S07,II,,"The perfect crime, almost",every forger slips eventually,the Rudy Kurniawan saga: an authentic Domaine Ponsot beside the memory of the fakes,draft
Seven of Swords,S07,III,,A shortcut taken,cunning has its own toolkit,"controversial techniques: Mega Purple, spinning-cone alcohol reduction",draft
Seven of Swords,S07,IV,,A plain wrapper,labels lie in both directions,blind-tasting strategy: humble-label greats like Château Le Puy,draft
